"Órgão","Sigla","Unidade","Quantidade"
"PCMG","PCMG/STRC-VAR","Seção Técnica Regional de Criminalística de Varginha","487"
"PCMG","PCMG/STRC-VES","Seção Técnica Regional de Criminalística de Vespasiano","174"
"PCMG","PCMG/STRC-VIC","Seção Técnica Regional de Criminalística de Viçosa","257"
"PCMG","PCMG/IML/SECINDIRETO","SECINDIRETO/IML/SPTC/PCMG","15"
"UTRAMIG","UTRAMIG/SECRETARIA","Secretaria","36"
"GMG","GMG/SECRETARIA","Secretaria","12"
"PMMG","PMMG/DEE/CTPM/SECRETARIA","SECRETARIA - CTPM ARGENTINO MADEIRA","2"
"UNIMONTES","UNIMONTES/ALMENARA/SECRETARIA","Secretaria Acadêmica da Unimontes em Almenara","68"
"UNIMONTES","UNIMONTES/JANAUBA/SECRETARIA","Secretaria Acadêmica da UNIMONTES em Janaúba","64"
"UNIMONTES","UNIMONTES/JANUARIA/SECRETARIA","Secretaria Acadêmica da UNIMONTES em Januária","56"
"UNIMONTES","UNIMONTES/PARACATU/SECRETARIA","Secretaria Acadêmica da UNIMONTES em Paracatu","61"
"UNIMONTES","UNIMONTES/SALINAS/SECRETARIA","Secretaria Acadêmica da UNIMONTES em Salinas","31"
"UNIMONTES","UNIMONTES/UNAI/SECRETARIA","Secretaria Acadêmica da UNIMONTES em Unaí","65"
"UEMG","UEMG/PASSOS/SECACADPOS","Secretaria Acadêmica dos Programas de Pós Graduação UEMG Passos","9"
"FHEMIG","FHEMIG/CHE/DIR/SEC/HAC","Secretaria Alberto Cavalcanti/Complexo de Especialidades","29"
"PMMG","PMMG/14RPM/SECT","Secretaria da 14ª Região de Polícia Militar","68"
"GMG","GMG/ASSESSORIA VICE GOV SECRET","Secretaria da Assessoria Militar do Vice-Governador","35"
"PCMG","PCMG/2DRPC/JANUÁRIA/SEC BANCA","Secretaria da Banca Examinadora/2DRPC/JANUÁRIA/11DepPC/PCMG","124"
"FHEMIG","FHEMIG/CEPAI/GAD/SECRETARIA","SECRETARIA DA DIREÇÃO E GERÊNCIAS DO CEPAI","135"
"PMMG","PMMG/DOp-SECT","Secretaria da Diretoria de Operações","46"
"GMG","GMG/ST/DTA SECRETARIA","Secretaria da Diretoria de Transportes Aéreos","17"
"UTRAMIG","UTRAMIG/SEC_PRESIDENCIA","Secretaria da Presidência","8"
"PCMG","PCMG/1DRPC/GV/SECRETARIA","Secretaria da Regional/1DRPC/GOVERNADOR VALADARES/8DepPC/PCMG","170"
"PCMG","PCMG/IML/SECPSIQUIATRIA","Secretaria da Seção de Perícias no Vivo/IML/SPTC/PCMG","3"
"GMG","GMG/CEDEC/SGRD SECRETARIA","Secretaria da Superintedência de Gestão do Risco de Desastre","34"
"JUCEMG","JUCEMG/SAUC","Secretaria de Apoio às Unidades Colegiadas","61"
"SECOM","SECOM/GAB","Secretaria de Comunicação Social","28"
"UEMG","UEMG/CLAUDIO/SECCURSOS","SECRETARIA DE CURSOS DA UNIDADE DE CLÁUDIO","39"
"PMMG","PMMG/APM/EFSd/Sect de Ensino","Secretaria de Ensino da Escola de Formação de Soldados","122"
"SEF","SEF/GGT","Secretaria de Estado de Fazenda / Grupo Gestor do Teletrabalho","17"
"SEF","SEF/Concurso AFRE","Secretaria de Estado de Fazenda/ Concurso Auditor Fiscal da Receita Estadual","101"
"SEF","SEF/COMITE CIRC","Secretaria de Estado de Fazenda/Circular","17"
"SEF","SEF/CI - 1191","Secretaria de Estado de Fazenda/Comissão de Inventário - 1191","19"
"SEF","SEF/Concurso GEFAZ-TFAZ","Secretaria de Estado de Fazenda/Concurso Gestor Fazendário e Técnico Fazendário","3"
"SEF","SEF/Gestao de Riscos","Secretaria de Estado de Fazenda/Gestão de Riscos","5"
"CODEMGE","CODEMGE/SEGE","Secretaria de Governança","92"
"CODEMIG","CODEMIG/SEGE","Secretaria de Governança","6"
"CODEMGE","CODEMGE/SEGE/GERENTE","Secretaria de Governança - Gerente","6"
"SEPLAG","SEPLAG/CICC/PAAT","Secretaria de Processo Administrativo por Acidente de Trânsito/CICC","50"
"UEMG","UEMG/DIAMANTINA/SECSAE","Secretaria de Serviço de Atendimento ao Estudante UEMG Diamantina","4"
"PMMG","PMMG/11RPM/50BPM/SECT","Secretaria do 50 BPM","3"
"UNIMONTES","UNIMONTES/CCBS/SECRETARIA","Secretaria do CCBS","337"
"UEMG","UEMG/SECCON","Secretaria dos Conselhos Superiores","45"
"UEMG","UEMG/DESIGN/SECEXT","Secretaria dos Cursos de Extensão Escola de Design","25"
"UEMG","UEMG/ESMU/SECEXT","Secretaria dos Cursos de Extensão Escola de Música","15"
"UEMG","UEMG/DESIGN/SECPOS","Secretaria dos Cursos de Pós Graduação Escola de Design","67"
"HEMOMINAS","HEMOMINAS/T.GLA.SEC.LAB","Secretaria dos Laboratórios","218"
"UNIMONTES","UNIMONTES/GAB/SECCONSELHOS","Secretaria dos Órgãos Superiores da UNIMONTES","473"
"FCS","FCS/SESC","Secretaria Escolar","131"
"UNIMONTES","UNIMONTES/CEPT/SECRETARIA","Secretaria ETS/CEPT","41"
"SCC","SCC/SE","Secretaria Executiva","20"
"SEPLAG","SEPLAG/SECEXEC/ACORDO","Secretaria Executiva","7"
"SEINFRA","SEINFRA/SECEXEC","Secretaria Executiva","113"
"SES","SES/URSDIV-AGR-SECRETARIA EXEC","Secretaria Executiva da Regional de Divinópolis","9"
"SEPLAG","SEPLAG/COFIN","Secretaria Executiva do Cofin e da CCGOV","14"
"SEINFRA","SEINFRA/CGPPP","Secretaria Executiva do Comitê Gestor de Parcerias Público-Privadas","14"
"SEAPA","SEAPA/SECEX CIF/MG","Secretaria Executiva do Comitê Interfederativo do Estado de Minas Gerais","5"
"CONSET","CONSET/SE","Secretaria Executiva do Conselho de Ética Pública","96"
"SEPLAG","SEPLAG/CEMA","Secretaria Executiva do Conselho de Modernização Administrativa","3"
"IGAM","IGAM/SEFHIDRO","Secretaria Executiva do FHIDRO","20"
"SECOM","SECOM/SEC EXECUTIVA","Secretaria Executiva do Governador","16"
"SEINFRA","SEINFRA/CREDITOOUTORGADO","Secretaria Executiva do Programa de Crédito Outorgado","20"
"PCMG","PCMG/4DRPC/ARAGUARI/SECRETARIA","Secretaria Executiva/4DRPC/ARAGUARI/9DepPC/PCMG","1"
"PCMG","PCMG/DELEG ASSIST/SEC","Secretaria Gabinete Delegado Assistente da Chefia da PCMG","21"
"UNIMONTES","UNIMONTES/SG/SECRETARIO","Secretaria Geral","54"
"UNIMONTES","UNIMONTES/SG","Secretaria Geral","63"
"JUCEMG","JUCEMG/SG","Secretaria Geral","10"
"FJP","FJP/SG","Secretaria Geral da Escola de Governo","18"
"UNIMONTES","UNIMONTES/SG/ADMINISTRACAO","Secretaria Geral da UNIMONTES - Curso de Administração","42"
"UNIMONTES","UNIMONTES/SG/AGRONOMIA","Secretaria Geral da UNIMONTES - Curso de Agronomia","42"
"UNIMONTES","UNIMONTES/SG/ARTESVISUAIS","Secretaria Geral da UNIMONTES - Curso de Artes Visuais","59"
"UNIMONTES","UNIMONTES/SG/ARTESMUSICA","Secretaria Geral da UNIMONTES - Curso de Artes/Música","67"
"UNIMONTES","UNIMONTES/SG/ARTESTEATRO","Secretaria Geral da UNIMONTES - Curso de Artes/Teatro","51"
"UNIMONTES","UNIMONTES/SG/BIOLOGIABACH","Secretaria Geral da UNIMONTES - Curso de Ciências Biológicas - Bacharelado","36"
"UNIMONTES","UNIMONTES/SG/BIOLOGIALIC","Secretaria Geral da UNIMONTES - Curso de Ciências Biológicas - Licenciatura","45"
"UNIMONTES","UNIMONTES/SG/CIENCCONTABEIS","Secretaria Geral da UNIMONTES - Curso de Ciências Contábeis","22"
"UNIMONTES","UNIMONTES/SG/CIENCRELIGIAO","Secretaria Geral da UNIMONTES - Curso de Ciências da Religião","29"
"UNIMONTES","UNIMONTES/SG/CIENCECONOMICAS","Secretaria Geral da UNIMONTES - Curso de Ciências Econômicas","20"
"UNIMONTES","UNIMONTES/SG/CIENCSOCIAIS","Secretaria Geral da UNIMONTES - Curso de Ciências Sociais","62"
"UNIMONTES","UNIMONTES/SG/DIREITO","Secretaria Geral da UNIMONTES - Curso de Direito","109"
"UNIMONTES","UNIMONTES/SG/EDFISICABACH","Secretaria Geral da UNIMONTES - Curso de Educação Física - Bacharelado","45"
"UNIMONTES","UNIMONTES/SG/EDFISICALIC","Secretaria Geral da UNIMONTES - Curso de Educação Física - Licenciatura","45"
"UNIMONTES","UNIMONTES/SG/ENFERMAGEM","Secretaria Geral da UNIMONTES - Curso de Enfermagem","26"
"UNIMONTES","UNIMONTES/SG/ENGCIVIL","Secretaria Geral da UNIMONTES - Curso de Engenharia Civil","60"
"UNIMONTES","UNIMONTES/SG/ENGSISTEMAS","Secretaria Geral da UNIMONTES - Curso de Engenharia de Sistemas","27"
"UNIMONTES","UNIMONTES/SG/ENGENHARIAFLOREST","Secretaria Geral da UNIMONTES - Curso de engenharia florestal","9"
"UNIMONTES","UNIMONTES/SG/FILOSOFIA","Secretaria Geral da UNIMONTES - Curso de Filosofia","67"
"UNIMONTES","UNIMONTES/SG/FISICA","Secretaria Geral da UNIMONTES - Curso de Fisica","21"
"UNIMONTES","UNIMONTES/SG/GEOGRAFIABACH","Secretaria Geral da UNIMONTES - Curso de Geografia - Bacharelado","38"
"UNIMONTES","UNIMONTES/SG/GEOGRAFIALIC","Secretaria Geral da UNIMONTES - Curso de Geografia - Licenciatura","46"
"UNIMONTES","UNIMONTES/SG/HISTORIA","Secretaria Geral da UNIMONTES - Curso de História","36"
"UNIMONTES","UNIMONTES/SG/HISTORIAJANAUBA","Secretaria Geral da UNIMONTES - Curso de História do Campus Janaúba","2"
"UNIMONTES","UNIMONTES/SG/LETRASESPANHOL","Secretaria Geral da UNIMONTES - Curso de Letras/Espanhol","15"
"UNIMONTES","UNIMONTES/SG/LETRASINGLES","Secretaria Geral da UNIMONTES - Curso de Letras/Inglês","39"
"UNIMONTES","UNIMONTES/SG/LETRASPORTUGUES","Secretaria Geral da UNIMONTES - Curso de Letras/Português","122"
"UNIMONTES","UNIMONTES/SG/MATEMATICA","Secretaria Geral da UNIMONTES - Curso de Matemática","11"
"UNIMONTES","UNIMONTES/SG/MEDICINA","Secretaria Geral da UNIMONTES - Curso de Medicina","38"
"UNIMONTES","UNIMONTES/SG/MEDICINAVET","Secretaria Geral da UNIMONTES - Curso de Medicina Veterinária","35"
"UNIMONTES","UNIMONTES/SG/ODONTOLOGIA","Secretaria Geral da UNIMONTES - Curso de Odontologia","31"
"UNIMONTES","UNIMONTES/SG/PEDAGOGIA","Secretaria Geral da UNIMONTES - Curso de Pedagogia","202"
"UNIMONTES","UNIMONTES/SG/PEDAGOGIAJANAUBA","Secretaria Geral da UNIMONTES - Curso de Pedagogia do Campus Janaúba","2"
"UNIMONTES","UNIMONTES/SG/PSICOLOGIA","Secretaria Geral da UNIMONTES - Curso de Psicologia","8"
"UNIMONTES","UNIMONTES/SG/QUIMICA","Secretaria Geral da UNIMONTES - Curso de Química","37"
"UNIMONTES","UNIMONTES/SG/SERVICOSOCIAL","Secretaria Geral da UNIMONTES - Curso de Serviço Social","45"
"UNIMONTES","UNIMONTES/SG/SISTEMASDEINFO","Secretaria Geral da UNIMONTES - Curso de Sistemas de Informação","52"
"UNIMONTES","UNIMONTES/SG/TECAGRONEGOCIO","Secretaria Geral da UNIMONTES - Curso de Tecnologia em Agronegócio","28"
"UNIMONTES","UNIMONTES/SG/TECGESTAOPUB","Secretaria Geral da UNIMONTES - Curso de Tecnologia em Gestão Pública","12"
"UNIMONTES","UNIMONTES/SG/ZOOTECNIA","Secretaria Geral da UNIMONTES - Curso de Zootecnia","36"
"UNIMONTES","UNIMONTES/SG/OUTROSCURSOS","Secretaria Geral da UNIMONTES - Outros Cursos","29"
"UNIMONTES","UNIMONTES/SG/POS","Secretaria Geral da UNIMONTES - Pós-Graduação","6"
"UNIMONTES","UNIMONTES/SG/RESIDENCIA","Secretaria Geral da UNIMONTES - Residência Médica e Multiprofissional","5"
"UNIMONTES","UNIMONTES/SG/UABGRADUACAO","Secretaria Geral da UNIMONTES - Universidade Aberta do Brasil (UAB) - Graduação","42"
"UNIMONTES","UNIMONTES/SG/UABPOS","Secretaria Geral da UNIMONTES - Universidade Aberta do Brasil (UAB) - Pós-Graduação","24"
"FAOP","FAOP/EARMFA/NCR/SEC","Secretaria Núcleo de Conservação e Restauração","44"
"PCMG","PCMG/13DepPC/SECRET REGIONAL","Secretaria Regional/13DepPC/BARBACENA/PCMG","2"
"PCMG","PCMG/1DRPC/CURVELO/SECRETARIA","Secretaria/1DRPC/CURVELO/14DepPC/PCMG","22"
"PCMG","PCMG/1DRPC/MOC/SECRETARIA","Secretaria/1DRPC/MONTES CLAROS/11DepPC/PCMG","70"
"PCMG","PCMG/1DRPC/S LAGOAS/SECRETARIA","Secretaria/1DRPC/SETE LAGOAS/19DepPC/PCMG","14"
"PCMG","PCMG/2DRPC/GUANHÃES/SECRETARIA","Secretaria/2DRPC/GUANHÃES/8DepPC/PCMG","148"
"PCMG","PCMG/3DRPC/DIAMANTINA/SECRET","Secretaria/3DRPC/DIAMANTINA/14DepPC/PCMG","13"
"PCMG","PCMG/3DRPC/SJDR/SECRETARIA","Secretaria/3DRPC/SÃO JOÃO DEL REI/13DepPC/PCMG","36"
"PCMG","PCMG/4DepPC/JF/SECRETARIA","Secretaria/4DepPC/JUIZ DE FORA/PCMG","6"
"PCMG","PCMG/8DepPC/GOV VALADARES/SEC","Secretaria/8DepPC/GOVERNADOR VALADARES/PCMG","14"
"PCMG","PCMG/SPGF/DAPP/SECRETARIA","Secretaria/DAPP/SPGF/PCMG","17"
"PCMG","PCMG/DPC ENTRE R MINAS/SECRET","Secretaria/DPC/ENTRE RIOS DE MINAS/2DRPC/CONSELHEIRO LAFAIETE/13DepPC/PCMG","20"
"PCMG","PCMG/ORDEM/SECRETARIA","Secretaria/ORDEM/ACADEPOL/PCMG","8"
"BDMG","BDMG/SECRETARIA-GERAL","Secretaria-Geral","568"
"SEF","SEF/SADJ-CCMG","Secretário Adjunto e Conselho de Contribuintes de Minas Gerais","3"
"SECULT","SECULT/DCF-FIN","SECULT / DCF / Financeiro","80"
"SECULT","SECULT/ICMS-TURISTICO","SECULT/ ICMS TURÍSTICO","26"
"SECULT","SECULT/PACOMPANHAMENTO","SECULT/PACOMPANHAMENTO","1"
"SEDE","SEDE/DRH Gestão de Pessoas","SEDE/DRH GESTÃO DE PESSOAS","37"
"SEDE","SEDE/DRH Pagamentos benefícios","SEDE/DRH Pagamentos e benefícios","196"
"SEDE","SEDE/SUDAT_POLITICA_URBANA","SEDE/SUDAT_POLITICA_URBANA","35"
"SEDESE","SEDESE/DPC*","SEDESE/DPC*","5"
"SEF","SEF/SRF-CONTAGEM-DF-CONTAG1-MF","SEF/SRF-CONTAGEM-DFCONTAG1-MANIFESTAÇÃO FISCAL","8"
"SEF","SEF/SRF-DIVINOP-AF-FORMIGA-RH","SEF/SRF-Divinópolis-AF- Formiga-Recursos Humanos","33"
"SEF","SEF/SRF-DIVINOP-DF-DIVINOP-TT","SEF/SRF-Divinópolis-DF-Divinopolis-Teletrabalho","26"
"SEF","SEF/SRF-DIVINOP-JUDICIAL","SEF/SRF-Divinópolis-Judicial","15"
"SEF","SEF/SRF-IPATINGA-CRTC-TRIBUT","SEF/SRF-IPATINGA-CRTC-TRIBUT","19"
"SEF","SEF/SRF-UBERABA-DF-RH-Teletrab","SEF/SRF-UBERABA-DF-RH-Teletrabalho","46"
"SEF","SEF/SRF-VGA-AF-OURO FINO-DI","SEF/SRF-VGA-AF-OURO FINO-DEMANDAS INTERNAS","25"
"SEGOV","SEGOV/DCP","SEGOV - Diretoria de Convênios e Parcerias","22"
"SEGOV","SEGOV/DCP/Fomento","SEGOV - Diretoria de Convênios e Parcerias - Fomento","173"
"SEGOV","SEGOV/DCP/Termo Aditivo","SEGOV - Diretoria de Convênios e Parcerias - Termos Aditivos","6"
"PMMG","PMMG/7RPM-P2","Segunda Seção - 7ª Região da Polícia Militar de Minas Gerais","10"
"PMMG","PMMG/8RPM/P2","Segunda Seção da 8ª RPM","15"
"PMMG","PMMG/APM/P2","Segunda Seção da Academia da Polícia Militar - PMMG (Seção de Inteligência)","13"
"PMMG","PMMG/DOp/COPOM-P2","Segunda Seção do COPOM","2"
"PMMG","PMMG/EMPM/PM2","SEGUNDA SEÇÃO DO ESTADO-MAIOR","18"
"FHEMIG","FHEMIG/DPGF/GTIC/SI","Segurança da Informação","24"
"FHEMIG","FHEMIG/CHU/GGP/CSST/SEGURANCA","Segurança do Trabalhador - Apoio Operacional","269"
"FHEMIG","FHEMIG/HRJP/GAD/CGP/SEG.TRAB","Segurança do Trabalho","584"
"SEINFRA","SEINFRA/SEGURANÇA_HÍDRICA","Segurança Hídrica","13"
"IDENE","IDENE/SEI","SEI","35"
"PMMG","PMMG/1RPM/5BPM/Encarregados","SEI destinado aos Encarregados de Processos e Procedimentos do 5 º BPM","4"
"CGE","CGE/SEINFRA_COMISSOES","SEINFRA Comissões Processantes","15"
"SEINFRA","SEINFRA/DPO/Edificações","SEINFRA/DPO/Edificações","12"
"SEINFRA","SEINFRA/FUNDOS_PPP/CECP","SEINFRA/FUNDOS_PPP/CECP","14"
"SEINFRA","SEINFRA/FUNDOS_PPP/SPGF","SEINFRA/FUNDOS_PPP/SPGF","31"
"SECULT","SECULT/SPOS","Seleção Pública de Organização Social","5"
"IEF","IEF/SELEÇÃO PUBLICA PERD","Seleção Pública de OSCIP - Parceria para consolidação do PERD","5"
"FCS","FCS/EDITAL_01_2023","SELEÇÃO PÚBLICA EDITAL 01/2023","3"
"SEMAD","SEMAD/TELETRABALHO","SEMAD - Teletrabalho","770"
"CBMMG","CBMMG/EMBM/CCBM/SEMINARIO JURI","Seminário Jurídico","15"
"SEPLAG","SEPLAG/UAI-PATOS DE MINAS IIMG","SEPLAG / UAI - Patos de Minas IIMG","3"
"SEPLAG","SEPLAG/UAI-CURVELO","SEPLAG UAI Curvelo HAB","48"
"SEPLAG","SEPLAG/UAI-PRAÇA SETE DUBLÊ","SEPLAG UAI Praça Sete Dublê - Controle Interno","1"
"SEPLAG","SEPLAG/ UAI Caratinga IIMG","SEPLAG/ UAI Caratinga IIMG","6"
"SEPLAG","SEPLAG/UAI-DIVINÓPOLIS IIMG","SEPLAG/ UAI-Divinópolis IIMG","139"
"SEPLAG","SEPLAG/UAI-MURIAÉ IIMG","SEPLAG/ UAI-Muriaé IIMG","8"
"SEPLAG","SEPLAG/UAI-PASSOS IIMG","SEPLAG/ UAI-Passos IIMG","152"
"SEPLAG","SEPLAG/ACORDO/AUDITSOCIOECONÔM","SEPLAG/ACORDO/AUDITSOCIOECONÔMICA","11"
"SEPLAG","SEPLAG/CETRAN-HONORÁRIOS","SEPLAG/CETRAN-HONORÁRIOS","3"
"SEPLAG","SEPLAG/DCGUAI - Compartilha","SEPLAG/DCGUAI - Compartilha","86"
"SEPLAG","SEPLAG/DCGUAI - MGS","SEPLAG/DCGUAI - MGS","44"
"SEPLAG","SEPLAG/DCGUAI - PPP","SEPLAG/DCGUAI - PPP","74"
"SEPLAG","SEPLAG/SCPMSO-DSTA_Dig/Doc","SEPLAG/DSTA_Dig/Perícia Documental","38"
"SEPLAG","SEPLAG/FISCALIZAÇÃO NÚCLEO PPP","SEPLAG/FISCALIZAÇÃO NÚCLEO PPP","5"
"SEPLAG","SEPLAG/SIAPLE","SEPLAG/SIAPLE","46"
"SEPLAG","SEPLAG/UAI-BARREIRO","SEPLAG/UAI Barreiro","2"
"SEPLAG","SEPLAG/UAI-BETIM","SEPLAG/UAI Betim","6"
"SEPLAG","SEPLAG/UAI-CONTAGEM","SEPLAG/UAI Contagem","8"
"SEPLAG","SEPLAG/UAI-Curvelo","SEPLAG/UAI Curvelo","10"
"SEPLAG","SEPLAG/UAI-DIAMANTINA","SEPLAG/UAI Diamantina","13"
"SEPLAG","SEPLAG/UAI-GOV. VALADARES","SEPLAG/UAI Governador Valadares","2"
"SEPLAG","SEPLAG/UAI-IPATINGA","SEPLAG/UAI Ipatinga","150"
"SEPLAG","SEPLAG/UAI-JUIZ DE FORA","SEPLAG/UAI Juiz de Fora","6"
"SEPLAG","SEPLAG/UAI-JUIZ DE FORA II","SEPLAG/UAI Juiz de Fora II","4"
"SEPLAG","SEPLAG/UAI-MONTES CLAROS","SEPLAG/UAI Montes Claros","13"
"SEPLAG","SEPLAG/UAI-POÇOS DE CALDAS","SEPLAG/UAI Poços de Caldas","5"
"SEPLAG","SEPLAG/UAI-PONTE NOVA IIMG","SEPLAG/UAI PONTE NOVA IIMG","19"
"SEPLAG","SEPLAG/UAI-POUSO ALEGRE","SEPLAG/UAI Pouso Alegre","4"
"SEPLAG","SEPLAG/UAI-SÃO JOÃO DEL REI","SEPLAG/UAI São João Del Rei","11"
"SEPLAG","SEPLAG/UAI-SÃO SEB.DO PARAÍSO","SEPLAG/UAI São Sebastião do Paraíso","1"
"SEPLAG","SEPLAG/UAI-SETE LAGOAS","SEPLAG/UAI Sete Lagoas","13"
"SEPLAG","SEPLAG/UAI-TEÓFILO OTONI","SEPLAG/UAI Teófilo Otoni","4"
"SEPLAG","SEPLAG/UAI-UBERABA","SEPLAG/UAI Uberaba","4"
"SEPLAG","SEPLAG/UAI-UBERLÂNDIA","SEPLAG/UAI Uberlândia","1"
"SEPLAG","SEPLAG/UAI-VARGINHA","SEPLAG/UAI Varginha","12"
"SEPLAG","SEPLAG/UAI-VENDA NOVA","SEPLAG/UAI Venda Nova","1"
"SEPLAG","SEPLAG/UAI-ARAÇUAí IIMG","SEPLAG/UAI-ARAÇUAí IIMG","188"
"SEPLAG","SEPLAG/UAI-ARAXA - Habilitação","SEPLAG/UAI-ARAXA - Habilitação","36"
"SEPLAG","SEPLAG/UAI-BARBACENA IIMG","SEPLAG/UAI-Barbacena IIMG","14"
"SEPLAG","SEPLAG/UAI-CAMPO FLORIDO","SEPLAG/UAI-CAMPO FLORIDO","6"
"SEPLAG","SEPLAG/UAI-CARATINGA IIMG","SEPLAG/UAI-Caratinga IIMG","4"
"SEPLAG","SEPLAG/UAI-CEL.FABRICIANO IIMG","SEPLAG/UAI-Cel Fabriciano IIMG","90"
"SEPLAG","SEPLAG/UAI-CONCEIÇÃO ALAGOAS","SEPLAG/UAI-CONCEIÇÃO ALAGOAS","2"
"SEPLAG","SEPLAG/UAI-CONFINS","SEPLAG/UAI-CONFINS","97"
"SEPLAG","SEPLAG/UAI-DIV-CONF/DIGITAÇAO","SEPLAG/UAI-DIVINÓPOLIS-CONF/DIGITAÇÃO","18"
"SEPLAG","SEPLAG/UAI-DIV-LIB VEICULOS","SEPLAG/UAI-DIVINÓPOLIS-LIB VEICULOS","1009"
"SEPLAG","SEPLAG/UAI-DIV-PROTOCOLO","SEPLAG/UAI-DIVINÓPOLIS-PROTOCOLO","264"
"SEPLAG","SEPLAG/UAI-EXTREMA","SEPLAG/UAI-EXTREMA","2"
"SEPLAG","SEPLAG/UAI-Felício dos Santos","SEPLAG/UAI-Felício dos Santos","16"
"SEPLAG","SEPLAG/UAI-GOV. VALADARES IIMG","SEPLAG/UAI-GOV. VALADARES IIMG","46"
"SEPLAG","SEPLAG/UAI-ITAJUBÁ Habilitação","SEPLAG/UAI-ITAJUBÁ Habilitação","11"
"SEPLAG","SEPLAG/UAI-Itajubá Veículos","SEPLAG/UAI-Itajubá Veículos","83"
"SEPLAG","SEPLAG/UAI-JOÃO MONLEVADE","SEPLAG/UAI-JOÃO MONLEVADE","5"
"SEPLAG","SEPLAG/UAI-Joaquim Felício","SEPLAG/UAI-Joaquim Felício","3"
"SEPLAG","SEPLAG/UAI-JUIZ DE FORA IIMG","SEPLAG/UAI-JUIZ DE FORA IIMG","9"
"SEPLAG","SEPLAG/UAI-LEOPOLDINA","SEPLAG/UAI-LEOPOLDINA","5"
"SEPLAG","SEPLAG/UAI-Ouro Verde de Minas","SEPLAG/UAI-Ouro Verde de Minas","93"
"SEPLAG","SEPLAG/UAI-PARACATU IIMG","SEPLAG/UAI-PARACATU IIMG","111"
"SEPLAG","SEPLAG/UAI-Porteirinha","SEPLAG/UAI-Porteirinha","8"
"SEPLAG","SEPLAG/UAI-PRAÇA SETE IIMG","SEPLAG/UAI-PRAÇA SETE IIMG","71"
"SEPLAG","SEPLAG/UAI-SARZEDO","SEPLAG/UAI-SARZEDO","23"
"SEPLAG","SEPLAG/UAI-SRA REMÉDIOS-DETRAN","SEPLAG/UAI-SRA DOS REMÉDIOS - DETRAN","5"
"SEPLAG","SEPLAG/UAI-SRA. DOS REMEDIOS","SEPLAG/UAI-SRA. DOS REMEDIOS","67"
"SEPLAG","SEPLAG/UAI-TRÊS CORAÇÕES","SEPLAG/UAI-TRÊS CORAÇÕES","100"
"SEPLAG","SEPLAG/UAI-TRÊS CORAÇÕES Habil","SEPLAG/UAI-TRÊS CORAÇÕES Habil","8"
"SEPLAG","SEPLAG/UAI-TRÊS CORAÇÕES VEÍ","SEPLAG/UAI-Três Corações VEÍ","13"
"SEPLAG","SEPLAG/UAI-VARGINHA IIMG","SEPLAG/UAI-VARGINHA IIMG","7"
"SEPLAG","SEPLAG/UAI-VIRTUAL","SEPLAG/UAI-VIRTUAL","29"
"SEPLAG","SEPLAG/UAI-VIRTUAL ADM","SEPLAG/UAI-VIRTUAL ADM","31"
"JUCEMG","JUCEMG/SAUX","Serviço Auxiliar","2"
"FUNED","FUNED/SAQ","Serviço da Avaliação da Qualidade","27"
"UNIMONTES","UNIMONTES/DDRH/ACUMULOS","Serviço de Acúmulo de Cargos","262"
"IPSM","IPSM/SAI","Serviço de Administração de Imóveis","1"
"FUNED","FUNED/SAM","Serviço de Administração de Materiais","97"
"FUNED","FUNED/SARTS","Serviço de Administração de Redes e Telefonia","53"
"FUNED","FUNED/SADS","Serviço de Administração e Desenvolvimento de Software","18"
"FUNED","FUNED/SAF","Serviço de Administração Financeira","96"
"JUCEMG","JUCEMG/ALMOX","Serviço de Almoxarifado","2"
"FUNED","FUNED/SAI","Serviço de Almoxarifado Industrial","19"
"FUNED","FUNED/SAROT","Serviço de Análise de Rotulagem","23"
"FUNED","FUNED/SAP","Serviço de Animais Peçonhentos","103"
"PCMG","PCMG/IML/SAF","Serviço de Antropologia Forense/IML/SPTC/PCMG","89"
"UNIMONTES","UNIMONTES/HUCF/DIRASSIST/DIAGN","Serviço de Apoio e Diagnóstico do Hospital Universitário Clemente de Faria","229"
"FUNED","FUNED/SAO","Serviço de Apoio Operacional","20"
"JUCEMG","JUCEMG/SA","Serviço de arquivo","20"
"UNIMONTES","UNIMONTES/HUCF/DIRA/SAME","Serviço de Arquivo Médico e Estatístico (SAME) do Hospital Universitário Clemente de Faria","176"
"PMMG","PMMG/11RPM/30BPM/SAS","Serviço de Assistência à Saúde -  11ªRPM/ 30ºBPM.","7"
"PMMG","PMMG/11RPM/51BPM/SAS","Serviço de Assistência à Saúde -  11ªRPM/ 51ºBPM.","18"
"PMMG","PMMG/16RPM/45BPM/SAS","Serviço de Assistência à Saúde 45º BPM","3"
"PMMG","PMMG/6RPM/24BPM/SAS","Serviço de Assistência à Saúde do 24º BPM","1"
"UEMG","UEMG/PASSOS/SAE","Serviço de Assistência Especializado UEMG Passos","4"
"UNIMONTES","UNIMONTES/CCSA/DIREITO/SAJ","Serviço de Assistência Jurídica","208"
"IPSM","IPSM/SAD","Serviço de Atendimento Domiciliar","94"
"IPSM","IPSM/SAAB","Serviço de Atendimento e Atenção ao Beneficiário","8"
"UNIMONTES","UNIMONTES/HUCF/DIRA/AUDIT","Serviço de Auditoria de Prontuários do Hospital Universitário Clemente de Faria","529"
